código,NOME,ESCALAS:
181,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA A,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA A
182,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA B,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA B
183,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA C,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA C
184,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA B,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA B
185,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA C,0092PA 4X1 4X2 3X2 3X2 07:00 AS 16:00 TMA C
186,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA A,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA A
187,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA A,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA A
188,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA B,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA B
189,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA C,0093PA 4X1 4X2 3X2 3X2 08:00 AS 17:00 TMA C
190,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA B,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA B
191,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA C,0094PA 4X1 4X2 3X2 3X2 09:00 AS 18:00 TMA C
192,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 A,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 A
193,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 B,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 B
194,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 C,TMA 4X1 4X2 3X2 3X2 05:30 AS 15:00:10 C
195,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 A,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 A
196,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 B,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 B
